RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
434832,18I07822,2018-09-21 17:45:00,2018,9,17,21,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHWEST,HOWARD PARK,STREET,39.333209435162715,-76.70211321655307,0.63,0.28,52000,0.22,Black
434833,18K05953,2018-11-16 12:50:00,2018,11,12,16,6G,LARCENY,,UNKNOWN,CENTRAL,UNIVERSITY OF MARYLAND,UNKNOWN,39.28890619250197,-76.62644651425578,0.63,0.28,52000,0.22,Black
434834,18K07207,2018-11-16 14:00:00,2018,11,14,16,7A,AUTO THEFT,,UNKNOWN,NORTHERN,WOODBERRY,PARKING LOT-OUTSIDE,39.33338259497936,-76.64648497989516,0.63,0.28,52000,0.22,Black
434835,18K05977,2018-11-16 15:57:00,2018,11,15,16,3CK,ROBBERY - COMMERCIAL,,KNIFE,NORTHEAST,WESTFIELD,OTHER - INSIDE,39.3584098190179,-76.55579683480782,0.63,0.28,52000,0.22,Black
434836,18K06592,2018-11-16 15:00:00,2018,11,15,16,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHEAST,HIGHLANDTOWN,UNKNOWN,39.289564420367206,-76.5682046284682,0.15,0.65,55000,0.14,White
434837,18K06003,2018-11-16 15:00:00,2018,11,15,16,3B,ROBBERY,,UNKNOWN,SOUTHERN,FEDERAL HILL,STREET,39.280007720482125,-76.60994359836167,0.06,0.87,89000,0.05,White
434838,19A08084,2018-11-16 13:00:00,2018,11,13,16,5A,BURGLARY,,UNKNOWN,SOUTHERN,CARROLLTON RIDGE,ROW/TOWNHOUSE-VAC,39.284314996732384,-76.64886790296681,0.63,0.28,52000,0.22,Black
434839,18K06201,2018-11-16 18:00:00,2018,11,18,16,7A,AUTO THEFT,,UNKNOWN,SOUTHEAST,BAYVIEW,PARKING LOT-OUTSIDE,39.2885173184452,-76.54207828519874,0.63,0.28,52000,0.22,Black
434840,18K06180,2018-11-16 19:00:00,2018,11,19,16,6G,LARCENY,,UNKNOWN,NORTHEAST,ROSEMONT EAST,ROW/TOWNHOUSE-OCC,39.35515038424793,-76.53553773462437,0.89,0.04,34000,0.3,Black
434841,18K06105,2018-11-16 19:30:00,2018,11,19,16,6D,LARCENY FROM AUTO,,UNKNOWN,EASTERN,PENN-FALLSWAY,STREET,39.30002880957076,-76.60697581612872,0.63,0.28,52000,0.22,Black
434842,18K06047,2018-11-16 18:50:00,2018,11,18,16,3AK,ROBBERY,,KNIFE,NORTHEAST,BELAIR-EDISON,STREET,39.315219835745246,-76.56163715711293,0.82,0.1,40000,0.22,Black
434843,18L06141,2018-11-16 08:20:00,2018,11,8,16,4E,COMMON ASSAULT,,UNKNOWN,NORTHEAST,CLIFTON PARK,SCHOOL,39.31765156378896,-76.58531321608025,0.89,0.05,31000,0.33,Black
434844,18K06116,2018-11-16 15:30:00,2018,11,15,16,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHERN,RIDGELY'S DELIGHT,PARKING LOT-OUTSIDE,39.28453836066972,-76.62372658246531,0.08,0.85,85000,0.06,White
434845,18K06216,2018-11-16 18:00:00,2018,11,18,16,7A,AUTO THEFT,,UNKNOWN,SOUTHERN,BROOKLYN,STREET,39.23420931534272,-76.60278952923905,0.68,0.2,38000,0.25,Black
434846,18K06025,2018-11-16 18:20:00,2018,11,18,16,3CF,ROBBERY - COMMERCIAL,,FIREARM,NORTHEAST,FRANKFORD,SPECIALTY STORE,39.32446552487618,-76.54530965923357,0.65,0.22,39000,0.25,Black
434847,18K06035,2018-11-16 00:00:00,2018,11,0,16,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHEAST,UPPER FELLS POINT,STREET,39.28913152260826,-76.58621237267756,0.08,0.8,78000,0.08,White
