City,Year,Month,Mode,Race_Category,N_Total,N_Detected,N_Reported,Detection_Rate,Reporting_Rate,N_Officers,Radius_ft,Reporting_Prob
Baltimore,2019,2,reported,Black,2414,115,1273,0.047639,0.527341,60,700,0.521
Baltimore,2019,2,reported,White,567,41,311,0.07231,0.548501,60,700,0.521
Baltimore,2019,2,reported,Neither,115,15,67,0.130435,0.582609,60,700,0.521
Baltimore,2019,3,reported,Black,2694,93,1445,0.034521,0.536377,60,700,0.521
Baltimore,2019,3,reported,White,628,50,365,0.079618,0.58121,60,700,0.521
Baltimore,2019,3,reported,Neither,96,0,45,0.0,0.46875,60,700,0.521
Baltimore,2019,4,reported,Black,2846,73,1478,0.02565,0.519325,60,700,0.521
Baltimore,2019,4,reported,White,662,45,363,0.067976,0.548338,60,700,0.521
Baltimore,2019,4,reported,Neither,101,0,49,0.0,0.485149,60,700,0.521
Baltimore,2019,5,reported,Black,3232,94,1699,0.029084,0.525681,60,700,0.521
Baltimore,2019,5,reported,White,722,38,400,0.052632,0.554017,60,700,0.521
Baltimore,2019,5,reported,Neither,124,0,63,0.0,0.508065,60,700,0.521
Baltimore,2019,6,reported,Black,3246,81,1718,0.024954,0.529267,60,700,0.521
Baltimore,2019,6,reported,White,738,22,425,0.02981,0.575881,60,700,0.521
Baltimore,2019,6,reported,Neither,129,0,65,0.0,0.503876,60,700,0.521
Baltimore,2019,7,reported,Black,3454,100,1861,0.028952,0.538796,60,700,0.521
Baltimore,2019,7,reported,White,854,86,498,0.100703,0.583138,60,700,0.521
Baltimore,2019,7,reported,Neither,146,4,90,0.027397,0.616438,60,700,0.521
Baltimore,2019,8,reported,Black,3461,134,1845,0.038717,0.533083,60,700,0.521
Baltimore,2019,8,reported,White,835,46,457,0.05509,0.547305,60,700,0.521
Baltimore,2019,8,reported,Neither,125,4,62,0.032,0.496,60,700,0.521
Baltimore,2019,9,reported,Black,3165,105,1746,0.033175,0.551659,60,700,0.521
Baltimore,2019,9,reported,White,898,18,466,0.020045,0.518931,60,700,0.521
Baltimore,2019,9,reported,Neither,124,1,59,0.008065,0.475806,60,700,0.521
Baltimore,2019,10,reported,Black,2955,137,1618,0.046362,0.547547,60,700,0.521
Baltimore,2019,10,reported,White,769,50,426,0.06502,0.553966,60,700,0.521
Baltimore,2019,10,reported,Neither,114,0,58,0.0,0.508772,60,700,0.521
Baltimore,2019,11,reported,Black,2771,81,1462,0.029231,0.527607,60,700,0.521
Baltimore,2019,11,reported,White,642,56,380,0.087227,0.5919,60,700,0.521
Baltimore,2019,11,reported,Neither,93,0,59,0.0,0.634409,60,700,0.521
Baltimore,2019,12,reported,Black,2701,118,1476,0.043688,0.546464,60,700,0.521
Baltimore,2019,12,reported,White,609,42,330,0.068966,0.541872,60,700,0.521
Baltimore,2019,12,reported,Neither,112,0,57,0.0,0.508929,60,700,0.521
Chicago,2022,2,detected,Black,6724,55,3464,0.00818,0.51517,60,700,0.521
Chicago,2022,2,detected,White,2495,17,1349,0.006814,0.540681,60,700,0.521
Chicago,2022,2,detected,Neither,5690,10,3018,0.001757,0.530404,60,700,0.521
Chicago,2022,3,detected,Black,8041,110,4299,0.01368,0.534635,60,700,0.521
Chicago,2022,3,detected,White,3206,66,1703,0.020586,0.531192,60,700,0.521
Chicago,2022,3,detected,Neither,6682,25,3484,0.003741,0.521401,60,700,0.521
Chicago,2022,4,detected,Black,8100,144,4327,0.017778,0.534198,60,700,0.521
Chicago,2022,4,detected,White,3031,128,1637,0.04223,0.540086,60,700,0.521
Chicago,2022,4,detected,Neither,6624,3,3481,0.000453,0.525513,60,700,0.521
Chicago,2022,5,detected,Black,8786,101,4638,0.011496,0.527885,60,700,0.521
Chicago,2022,5,detected,White,3668,324,2066,0.088332,0.56325,60,700,0.521
Chicago,2022,5,detected,Neither,7443,18,3914,0.002418,0.525863,60,700,0.521
Chicago,2022,6,detected,Black,8682,0,4462,0.0,0.513937,60,700,0.521
Chicago,2022,6,detected,White,3917,581,2302,0.148328,0.587695,60,700,0.521
Chicago,2022,6,detected,Neither,7838,0,4074,0.0,0.519775,60,700,0.521
Chicago,2022,7,detected,Black,9281,0,4897,0.0,0.527637,60,700,0.521
Chicago,2022,7,detected,White,4588,526,2642,0.114647,0.57585,60,700,0.521
Chicago,2022,7,detected,Neither,8027,0,4242,0.0,0.528466,60,700,0.521
Chicago,2022,8,detected,Black,9707,0,5053,0.0,0.520552,60,700,0.521
Chicago,2022,8,detected,White,3999,365,2201,0.091273,0.550388,60,700,0.521
Chicago,2022,8,detected,Neither,8178,0,4264,0.0,0.521399,60,700,0.521
Chicago,2022,9,detected,Black,9821,0,5115,0.0,0.520823,60,700,0.521
Chicago,2022,9,detected,White,3947,301,2150,0.07626,0.544718,60,700,0.521
Chicago,2022,9,detected,Neither,8106,0,4135,0.0,0.510116,60,700,0.521
Chicago,2022,10,detected,Black,10176,0,5286,0.0,0.519458,60,700,0.521
Chicago,2022,10,detected,White,3928,311,2203,0.079175,0.560845,60,700,0.521
Chicago,2022,10,detected,Neither,8583,0,4376,0.0,0.509845,60,700,0.521
Chicago,2022,11,detected,Black,8836,0,4619,0.0,0.522748,60,700,0.521
Chicago,2022,11,detected,White,3638,352,2047,0.096756,0.562672,60,700,0.521
Chicago,2022,11,detected,Neither,7987,0,4123,0.0,0.516214,60,700,0.521
Chicago,2022,12,detected,Black,8522,0,4360,0.0,0.511617,60,700,0.521
Chicago,2022,12,detected,White,3473,300,1974,0.086381,0.568385,60,700,0.521
Chicago,2022,12,detected,Neither,7837,0,4172,0.0,0.532347,60,700,0.521
Chicago,2022,2,reported,Black,6724,37,3510,0.005503,0.522011,60,700,0.521
Chicago,2022,2,reported,White,2495,20,1303,0.008016,0.522244,60,700,0.521
Chicago,2022,2,reported,Neither,5690,23,2934,0.004042,0.515641,60,700,0.521
Chicago,2022,3,reported,Black,8041,50,4185,0.006218,0.520458,60,700,0.521
Chicago,2022,3,reported,White,3206,32,1683,0.009981,0.524953,60,700,0.521
Chicago,2022,3,reported,Neither,6682,35,3522,0.005238,0.527088,60,700,0.521
Chicago,2022,4,reported,Black,8100,72,4291,0.008889,0.529753,60,700,0.521
Chicago,2022,4,reported,White,3031,10,1621,0.003299,0.534807,60,700,0.521
Chicago,2022,4,reported,Neither,6624,35,3467,0.005284,0.5234,60,700,0.521
Chicago,2022,5,reported,Black,8786,52,4630,0.005919,0.526975,60,700,0.521
